train_seed,teacher_mode_code,teacher_support,student_success_rate,exact_mode_retention_rate
42,37,12,0.3333333333333333,0.0
42,38,6,0.6666666666666666,0.0
42,41,16,0.6875,0.25
42,42,62,0.7258064516129032,0.3225806451612903
42,49,13,0.7692307692307693,0.0
42,50,12,0.5833333333333334,0.0
42,69,20,0.5,0.05
42,70,13,0.8461538461538461,0.0
42,73,7,0.42857142857142855,0.0
42,74,23,0.8260869565217391,0.0
42,81,28,0.5714285714285714,0.07142857142857142
42,82,16,0.75,0.0
42,133,38,0.7631578947368421,0.02631578947368421
42,134,28,0.8214285714285714,0.03571428571428571
42,137,5,0.6,0.0
42,138,10,0.6,0.0
42,145,18,0.7222222222222222,0.0
42,146,26,0.6538461538461539,0.038461538461538464
42,261,15,0.8,0.2
42,262,28,0.6785714285714286,0.03571428571428571
42,265,10,0.6,0.0
42,266,30,0.6,0.13333333333333333
42,273,10,0.4,0.0
42,274,14,0.6428571428571429,0.14285714285714285
43,37,12,0.3333333333333333,0.0
43,38,6,0.6666666666666666,0.0
43,41,16,0.625,0.1875
43,42,62,0.6935483870967742,0.25806451612903225
43,49,13,0.6153846153846154,0.0
43,50,12,0.75,0.0
43,69,20,0.55,0.1
43,70,13,0.8461538461538461,0.07692307692307693
43,73,7,0.5714285714285714,0.0
43,74,23,0.7391304347826086,0.0
43,81,28,0.6071428571428571,0.03571428571428571
43,82,16,0.75,0.0
43,133,38,0.631578947368421,0.02631578947368421
43,134,28,0.8571428571428571,0.07142857142857142
43,137,5,0.2,0.0
43,138,10,0.7,0.0
43,145,18,0.7777777777777778,0.05555555555555555
43,146,26,0.5384615384615384,0.07692307692307693
43,261,15,0.8666666666666667,0.2
43,262,28,0.7142857142857143,0.07142857142857142
43,265,10,0.7,0.0
43,266,30,0.6666666666666666,0.13333333333333333
43,273,10,0.8,0.0
43,274,14,0.5714285714285714,0.14285714285714285
44,37,12,0.25,0.0
44,38,6,1.0,0.0
44,41,16,0.5625,0.1875
44,42,62,0.7096774193548387,0.27419354838709675
44,49,13,0.6153846153846154,0.0
44,50,12,0.8333333333333334,0.0
44,69,20,0.55,0.05
44,70,13,0.7692307692307693,0.07692307692307693
44,73,7,0.2857142857142857,0.0
44,74,23,0.7391304347826086,0.0
44,81,28,0.5357142857142857,0.03571428571428571
44,82,16,0.75,0.0
44,133,38,0.6842105263157895,0.02631578947368421
44,134,28,0.6785714285714286,0.07142857142857142
44,137,5,0.6,0.0
44,138,10,0.6,0.0
44,145,18,0.7222222222222222,0.0
44,146,26,0.5384615384615384,0.07692307692307693
44,261,15,0.8,0.2
44,262,28,0.5714285714285714,0.03571428571428571
44,265,10,0.5,0.0
44,266,30,0.8333333333333334,0.13333333333333333
44,273,10,0.5,0.0
44,274,14,0.7857142857142857,0.14285714285714285
